"date","category_grouped","outbreak_subgroup","TOTAL_CASES"
"2021-04-23","3 Education","SCHOOL - POST-SECONDARY",1
"2021-04-23","3 Education","SCHOOL - SECONDARY",1
"2021-04-23","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2021-04-23","4 Workplace","RETAIL",17
"2021-04-23","4 Workplace","WORKPLACE - FARM",5
"2021-04-23","4 Workplace","WORKPLACE - FOOD PROCESSING",28
"2021-04-23","4 Workplace","WORKPLACE - OTHER",159
"2021-04-23","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",6
"2021-04-23","5 Recreational","OTHER RECREATION",10
"2021-04-23","5 Recreational","RECREATIONAL FITNESS",2
"2021-04-24","1 Congregate Care","HOSPITAL",16
"2021-04-24","1 Congregate Care","LONG-TERM CARE HOME",16
"2021-04-24","1 Congregate Care","RETIREMENT HOME",2
"2021-04-24","2 Congregate Living","CONGREGATE OTHER",10
"2021-04-24","2 Congregate Living","CORRECTIONAL FACILITY",1
"2021-04-24","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",11
"2021-04-24","2 Congregate Living","SHELTER",5
"2021-04-24","2 Congregate Living","SHORT-TERM ACCOMMODATIONS",2
"2021-04-24","3 Education","CHILD CARE",69
"2021-04-24","3 Education","SCHOOL - POST-SECONDARY",1
"2021-04-24","4 Workplace","MEDICAL/HEALTH SERVICE",2
"2021-04-24","4 Workplace","RETAIL",13
"2021-04-24","4 Workplace","WORKPLACE - FARM",5
"2021-04-24","4 Workplace","WORKPLACE - FOOD PROCESSING",33
"2021-04-24","4 Workplace","WORKPLACE - OTHER",152
"2021-04-24","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",10
"2021-04-24","5 Recreational","OTHER RECREATION",26
"2021-04-24","5 Recreational","RECREATIONAL FITNESS",2
"2021-04-25","1 Congregate Care","HOSPITAL",14
"2021-04-25","1 Congregate Care","LONG-TERM CARE HOME",11
"2021-04-25","1 Congregate Care","RETIREMENT HOME",6
"2021-04-25","2 Congregate Living","CONGREGATE OTHER",2
"2021-04-25","2 Congregate Living","CORRECTIONAL FACILITY",3
"2021-04-25","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",5
"2021-04-25","2 Congregate Living","SHELTER",5
"2021-04-25","2 Congregate Living","SHORT-TERM ACCOMMODATIONS",6
"2021-04-25","3 Education","CHILD CARE",51
"2021-04-25","3 Education","SCHOOL - ELEMENTARY",3
"2021-04-25","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2021-04-25","4 Workplace","RETAIL",22
"2021-04-25","4 Workplace","WORKPLACE - FARM",18
"2021-04-25","4 Workplace","WORKPLACE - FOOD PROCESSING",22
"2021-04-25","4 Workplace","WORKPLACE - OTHER",139
"2021-04-25","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",10
"2021-04-25","5 Recreational","OTHER RECREATION",9
"2021-04-25","5 Recreational","RECREATIONAL FITNESS",2
"2021-04-26","1 Congregate Care","HOSPITAL",14
"2021-04-26","1 Congregate Care","LONG-TERM CARE HOME",9
"2021-04-26","1 Congregate Care","RETIREMENT HOME",1
"2021-04-26","2 Congregate Living","CONGREGATE OTHER",3
"2021-04-26","2 Congregate Living","CORRECTIONAL FACILITY",1
"2021-04-26","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",2
"2021-04-26","2 Congregate Living","SHELTER",3
"2021-04-26","2 Congregate Living","SHORT-TERM ACCOMMODATIONS",2
"2021-04-26","3 Education","CHILD CARE",48
"2021-04-26","3 Education","SCHOOL - ELEMENTARY",3
"2021-04-26","3 Education","SCHOOL - POST-SECONDARY",1
"2021-04-26","3 Education","SCHOOL - SECONDARY",3
"2021-04-26","4 Workplace","RETAIL",31
"2021-04-26","4 Workplace","WORKPLACE - FARM",13
"2021-04-26","4 Workplace","WORKPLACE - FOOD PROCESSING",26
"2021-04-26","4 Workplace","WORKPLACE - OTHER",124
"2021-04-26","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",8
"2021-04-26","5 Recreational","OTHER RECREATION",9
"2021-04-26","5 Recreational","RECREATIONAL FITNESS",1
"2021-04-26","6 Other/Unknown","OTHER",1
"2021-04-27","1 Congregate Care","HOSPITAL",29
"2021-04-27","1 Congregate Care","LONG-TERM CARE HOME",19
"2021-04-27","1 Congregate Care","RETIREMENT HOME",6
"2021-04-27","2 Congregate Living","CONGREGATE OTHER",1
"2021-04-27","2 Congregate Living","CORRECTIONAL FACILITY",1
"2021-04-27","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",12
"2021-04-27","2 Congregate Living","SHELTER",7
"2021-04-27","2 Congregate Living","SHORT-TERM ACCOMMODATIONS",4
"2021-04-27","3 Education","CHILD CARE",56
"2021-04-27","3 Education","SCHOOL - POST-SECONDARY",1
"2021-04-27","3 Education","SCHOOL - SECONDARY",1
"2021-04-27","4 Workplace","RETAIL",26
"2021-04-27","4 Workplace","WORKPLACE - FARM",19
"2021-04-27","4 Workplace","WORKPLACE - FOOD PROCESSING",35
"2021-04-27","4 Workplace","WORKPLACE - OTHER",136
"2021-04-27","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",5
"2021-04-27","5 Recreational","OTHER RECREATION",19
"2021-04-27","5 Recreational","PERSONAL SERVICE SETTINGS",1
"2021-04-28","1 Congregate Care","HOSPITAL",21
"2021-04-28","1 Congregate Care","LONG-TERM CARE HOME",22
"2021-04-28","1 Congregate Care","RETIREMENT HOME",5
"2021-04-28","2 Congregate Living","CONGREGATE OTHER",4
"2021-04-28","2 Congregate Living","CORRECTIONAL FACILITY",5
"2021-04-28","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",11
"2021-04-28","2 Congregate Living","SHELTER",9
"2021-04-28","2 Congregate Living","SHORT-TERM ACCOMMODATIONS",1
"2021-04-28","3 Education","CHILD CARE",70
"2021-04-28","3 Education","SCHOOL - ELEMENTARY",3
"2021-04-28","3 Education","SCHOOL - SECONDARY",1
"2021-04-28","4 Workplace","MEDICAL/HEALTH SERVICE",3
"2021-04-28","4 Workplace","RETAIL",19
"2021-04-28","4 Workplace","WORKPLACE - FARM",11
"2021-04-28","4 Workplace","WORKPLACE - FOOD PROCESSING",45
"2021-04-28","4 Workplace","WORKPLACE - OTHER",184
"2021-04-28","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",5
"2021-04-28","5 Recreational","OTHER RECREATION",15
"2021-04-28","5 Recreational","RECREATIONAL FITNESS",1
"2021-04-28","6 Other/Unknown","OTHER",3
"2021-04-29","1 Congregate Care","HOSPITAL",15
"2021-04-29","1 Congregate Care","LONG-TERM CARE HOME",22
"2021-04-29","1 Congregate Care","RETIREMENT HOME",4
"2021-04-29","2 Congregate Living","CONGREGATE OTHER",5
"2021-04-29","2 Congregate Living","CORRECTIONAL FACILITY",2
"2021-04-29","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",4
"2021-04-29","2 Congregate Living","SHELTER",9
"2021-04-29","2 Congregate Living","SHORT-TERM ACCOMMODATIONS",7
"2021-04-29","3 Education","CHILD CARE",55
"2021-04-29","3 Education","SCHOOL - ELEMENTARY",1
"2021-04-29","3 Education","SCHOOL - ELEMENTARY/SECONDARY",1
"2021-04-29","3 Education","SCHOOL - POST-SECONDARY",1
"2021-04-29","3 Education","SCHOOL - SECONDARY",1
"2021-04-29","4 Workplace","MEDICAL/HEALTH SERVICE",4
"2021-04-29","4 Workplace","RETAIL",19
"2021-04-29","4 Workplace","WORKPLACE - FARM",10
"2021-04-29","4 Workplace","WORKPLACE - FOOD PROCESSING",46
"2021-04-29","4 Workplace","WORKPLACE - OTHER",165
"2021-04-29","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",15
"2021-04-29","5 Recreational","OTHER RECREATION",5
"2021-04-29","5 Recreational","PERSONAL SERVICE SETTINGS",1
"2021-04-29","6 Other/Unknown","OTHER",2
"2021-04-30","1 Congregate Care","HOSPITAL",17
"2021-04-30","1 Congregate Care","LONG-TERM CARE HOME",14
"2021-04-30","1 Congregate Care","RETIREMENT HOME",3
"2021-04-30","2 Congregate Living","CONGREGATE OTHER",1
"2021-04-30","2 Congregate Living","CORRECTIONAL FACILITY",1
"2021-04-30","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",10
"2021-04-30","2 Congregate Living","SHELTER",5
"2021-04-30","2 Congregate Living","SHORT-TERM ACCOMMODATIONS",4
"2021-04-30","3 Education","CHILD CARE",55
"2021-04-30","3 Education","SCHOOL - ELEMENTARY",1
"2021-04-30","4 Workplace","RETAIL",24
"2021-04-30","4 Workplace","WORKPLACE - FARM",3
"2021-04-30","4 Workplace","WORKPLACE - FOOD PROCESSING",32
"2021-04-30","4 Workplace","WORKPLACE - OTHER",152
"2021-04-30","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",8
"2021-04-30","5 Recreational","OTHER RECREATION",16
"2021-04-30","5 Recreational","RECREATIONAL FITNESS",1
"2021-05-01","1 Congregate Care","HOSPITAL",10
"2021-05-01","1 Congregate Care","LONG-TERM CARE HOME",22
"2021-05-01","1 Congregate Care","RETIREMENT HOME",3
"2021-05-01","2 Congregate Living","CONGREGATE OTHER",2
"2021-05-01","2 Congregate Living","CORRECTIONAL FACILITY",5
"2021-05-01","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",5
"2021-05-01","2 Congregate Living","SHELTER",6
"2021-05-01","2 Congregate Living","SHORT-TERM ACCOMMODATIONS",3
"2021-05-01","3 Education","CHILD CARE",71
"2021-05-01","3 Education","SCHOOL - ELEMENTARY",3
"2021-05-01","3 Education","SCHOOL - POST-SECONDARY",1
"2021-05-01","3 Education","SCHOOL - SECONDARY",2
"2021-05-01","4 Workplace","MEDICAL/HEALTH SERVICE",3
"2021-05-01","4 Workplace","RETAIL",24
"2021-05-01","4 Workplace","WORKPLACE - FARM",4
"2021-05-01","4 Workplace","WORKPLACE - FOOD PROCESSING",25
"2021-05-01","4 Workplace","WORKPLACE - OTHER",205
"2021-05-01","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",8
"2021-05-01","5 Recreational","OTHER RECREATION",13
"2021-05-01","6 Other/Unknown","OTHER",1
"2021-05-02","1 Congregate Care","HOSPITAL",12
"2021-05-02","1 Congregate Care","LONG-TERM CARE HOME",10
"2021-05-02","1 Congregate Care","RETIREMENT HOME",18
"2021-05-02","2 Congregate Living","CONGREGATE OTHER",3
"2021-05-02","2 Congregate Living","CORRECTIONAL FACILITY",1
"2021-05-02","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",9
"2021-05-02","2 Congregate Living","SHELTER",4
"2021-05-02","2 Congregate Living","SHORT-TERM ACCOMMODATIONS",5
"2021-05-02","3 Education","CHILD CARE",42
"2021-05-02","4 Workplace","MEDICAL/HEALTH SERVICE",3
"2021-05-02","4 Workplace","RETAIL",14
"2021-05-02","4 Workplace","WORKPLACE - FARM",4
"2021-05-02","4 Workplace","WORKPLACE - FOOD PROCESSING",26
"2021-05-02","4 Workplace","WORKPLACE - OTHER",154
"2021-05-02","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",9
"2021-05-02","5 Recreational","OTHER RECREATION",8
"2021-05-03","1 Congregate Care","HOSPITAL",14
"2021-05-03","1 Congregate Care","LONG-TERM CARE HOME",11
"2021-05-03","1 Congregate Care","RETIREMENT HOME",4
"2021-05-03","2 Congregate Living","CONGREGATE OTHER",6
"2021-05-03","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",5
"2021-05-03","2 Congregate Living","SHELTER",3
"2021-05-03","2 Congregate Living","SHORT-TERM ACCOMMODATIONS",1
"2021-05-03","3 Education","CHILD CARE",47
"2021-05-03","3 Education","SCHOOL - ELEMENTARY",2
"2021-05-03","3 Education","SCHOOL - POST-SECONDARY",1
"2021-05-03","3 Education","SCHOOL - SECONDARY",1
"2021-05-03","4 Workplace","MEDICAL/HEALTH SERVICE",2
"2021-05-03","4 Workplace","RETAIL",20
"2021-05-03","4 Workplace","WORKPLACE - FARM",21
"2021-05-03","4 Workplace","WORKPLACE - FOOD PROCESSING",19
"2021-05-03","4 Workplace","WORKPLACE - OTHER",161
"2021-05-03","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",8
"2021-05-03","5 Recreational","OTHER RECREATION",23
"2021-05-03","6 Other/Unknown","OTHER",1
"2021-05-04","1 Congregate Care","HOSPITAL",18
"2021-05-04","1 Congregate Care","LONG-TERM CARE HOME",13
"2021-05-04","1 Congregate Care","RETIREMENT HOME",4
"2021-05-04","2 Congregate Living","CONGREGATE OTHER",2
"2021-05-04","2 Congregate Living","CORRECTIONAL FACILITY",2
"2021-05-04","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",9
"2021-05-04","2 Congregate Living","SHELTER",7
"2021-05-04","3 Education","CHILD CARE",53
"2021-05-04","3 Education","SCHOOL - POST-SECONDARY",2
"2021-05-04","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2021-05-04","4 Workplace","RETAIL",19
"2021-05-04","4 Workplace","WORKPLACE - FARM",9
"2021-05-04","4 Workplace","WORKPLACE - FOOD PROCESSING",18
"2021-05-04","4 Workplace","WORKPLACE - OTHER",171
"2021-05-04","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",7
"2021-05-04","5 Recreational","OTHER RECREATION",15
"2021-05-04","6 Other/Unknown","OTHER",1
"2021-05-05","1 Congregate Care","HOSPITAL",24
"2021-05-05","1 Congregate Care","LONG-TERM CARE HOME",15
"2021-05-05","1 Congregate Care","RETIREMENT HOME",6
"2021-05-05","2 Congregate Living","CONGREGATE OTHER",3
"2021-05-05","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",8
"2021-05-05","2 Congregate Living","SHELTER",5
"2021-05-05","2 Congregate Living","SHORT-TERM ACCOMMODATIONS",1
"2021-05-05","3 Education","CHILD CARE",45
"2021-05-05","3 Education","SCHOOL - ELEMENTARY",1
"2021-05-05","3 Education","SCHOOL - POST-SECONDARY",7
"2021-05-05","4 Workplace","MEDICAL/HEALTH SERVICE",2
"2021-05-05","4 Workplace","RETAIL",23
"2021-05-05","4 Workplace","WORKPLACE - FARM",17
"2021-05-05","4 Workplace","WORKPLACE - FOOD PROCESSING",13
"2021-05-05","4 Workplace","WORKPLACE - OTHER",181
"2021-05-05","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",10
"2021-05-05","5 Recreational","OTHER RECREATION",18
"2021-05-05","5 Recreational","RECREATIONAL FITNESS",1
"2021-05-06","1 Congregate Care","HOSPITAL",19
"2021-05-06","1 Congregate Care","LONG-TERM CARE HOME",12
"2021-05-06","1 Congregate Care","RETIREMENT HOME",7
"2021-05-06","2 Congregate Living","CONGREGATE OTHER",2
"2021-05-06","2 Congregate Living","CORRECTIONAL FACILITY",1
"2021-05-06","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",10
"2021-05-06","2 Congregate Living","SHELTER",7
"2021-05-06","3 Education","CHILD CARE",59
"2021-05-06","3 Education","SCHOOL - ELEMENTARY/SECONDARY",1
"2021-05-06","3 Education","SCHOOL - POST-SECONDARY",4
"2021-05-06","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2021-05-06","4 Workplace","RETAIL",25
"2021-05-06","4 Workplace","WORKPLACE - FARM",20
"2021-05-06","4 Workplace","WORKPLACE - FOOD PROCESSING",32
"2021-05-06","4 Workplace","WORKPLACE - OTHER",158
"2021-05-06","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",6
"2021-05-06","5 Recreational","OTHER RECREATION",19
"2021-05-06","5 Recreational","RECREATIONAL FITNESS",1
"2021-05-07","1 Congregate Care","HOSPITAL",15
"2021-05-07","1 Congregate Care","LONG-TERM CARE HOME",11
"2021-05-07","1 Congregate Care","RETIREMENT HOME",2
"2021-05-07","2 Congregate Living","CONGREGATE OTHER",1
"2021-05-07","2 Congregate Living","CORRECTIONAL FACILITY",3
"2021-05-07","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2021-05-07","2 Congregate Living","SHELTER",9
"2021-05-07","2 Congregate Living","SHORT-TERM ACCOMMODATIONS",2
"2021-05-07","3 Education","CHILD CARE",40
"2021-05-07","3 Education","SCHOOL - POST-SECONDARY",1
"2021-05-07","4 Workplace","RETAIL",14
"2021-05-07","4 Workplace","WORKPLACE - FARM",7
"2021-05-07","4 Workplace","WORKPLACE - FOOD PROCESSING",18
"2021-05-07","4 Workplace","WORKPLACE - OTHER",124
"2021-05-07","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",13
"2021-05-07","5 Recreational","OTHER RECREATION",36
"2021-05-07","6 Other/Unknown","OTHER",10
"2021-05-08","1 Congregate Care","HOSPITAL",12
"2021-05-08","1 Congregate Care","LONG-TERM CARE HOME",20
"2021-05-08","1 Congregate Care","RETIREMENT HOME",5
"2021-05-08","2 Congregate Living","CONGREGATE OTHER",3
"2021-05-08","2 Congregate Living","CORRECTIONAL FACILITY",1
"2021-05-08","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",2
"2021-05-08","2 Congregate Living","SHELTER",5
"2021-05-08","3 Education","CHILD CARE",46
"2021-05-08","3 Education","SCHOOL - ELEMENTARY/SECONDARY",1
"2021-05-08","3 Education","SCHOOL - POST-SECONDARY",1
"2021-05-08","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2021-05-08","4 Workplace","RETAIL",20
"2021-05-08","4 Workplace","WORKPLACE - FARM",20
"2021-05-08","4 Workplace","WORKPLACE - FOOD PROCESSING",12
"2021-05-08","4 Workplace","WORKPLACE - OTHER",123
"2021-05-08","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",9
"2021-05-08","5 Recreational","OTHER RECREATION",20
"2021-05-08","6 Other/Unknown","OTHER",4
"2021-05-09","1 Congregate Care","HOSPITAL",7
"2021-05-09","1 Congregate Care","LONG-TERM CARE HOME",5
"2021-05-09","1 Congregate Care","RETIREMENT HOME",3
"2021-05-09","2 Congregate Living","CONGREGATE OTHER",14
"2021-05-09","2 Congregate Living","CORRECTIONAL FACILITY",1
"2021-05-09","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",6
"2021-05-09","2 Congregate Living","SHELTER",7
"2021-05-09","3 Education","CHILD CARE",37
"2021-05-09","3 Education","SCHOOL - POST-SECONDARY",1
"2021-05-09","3 Education","SCHOOL - SECONDARY",1
"2021-05-09","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2021-05-09","4 Workplace","RETAIL",11
"2021-05-09","4 Workplace","WORKPLACE - FARM",21
"2021-05-09","4 Workplace","WORKPLACE - FOOD PROCESSING",16
"2021-05-09","4 Workplace","WORKPLACE - OTHER",104
"2021-05-09","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",7
"2021-05-09","5 Recreational","OTHER RECREATION",8
"2021-05-10","1 Congregate Care","HOSPITAL",17
"2021-05-10","1 Congregate Care","LONG-TERM CARE HOME",7
"2021-05-10","1 Congregate Care","RETIREMENT HOME",1
"2021-05-10","2 Congregate Living","CORRECTIONAL FACILITY",1
"2021-05-10","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",8
"2021-05-10","2 Congregate Living","SHELTER",5
"2021-05-10","3 Education","CHILD CARE",28
"2021-05-10","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2021-05-10","4 Workplace","RETAIL",17
"2021-05-10","4 Workplace","WORKPLACE - FARM",7
"2021-05-10","4 Workplace","WORKPLACE - FOOD PROCESSING",17
"2021-05-10","4 Workplace","WORKPLACE - OTHER",80
"2021-05-10","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",4
"2021-05-10","5 Recreational","OTHER RECREATION",12
"2021-05-10","6 Other/Unknown","OTHER",1
"2021-05-11","1 Congregate Care","HOSPITAL",14
"2021-05-11","1 Congregate Care","LONG-TERM CARE HOME",12
"2021-05-11","1 Congregate Care","RETIREMENT HOME",7
"2021-05-11","2 Congregate Living","CONGREGATE OTHER",2
"2021-05-11","2 Congregate Living","CORRECTIONAL FACILITY",1
"2021-05-11","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",10
"2021-05-11","2 Congregate Living","SHELTER",15
"2021-05-11","3 Education","CHILD CARE",43
"2021-05-11","3 Education","SCHOOL - ELEMENTARY",1
"2021-05-11","3 Education","SCHOOL - POST-SECONDARY",1
"2021-05-11","4 Workplace","MEDICAL/HEALTH SERVICE",2
"2021-05-11","4 Workplace","RETAIL",17
"2021-05-11","4 Workplace","WORKPLACE - FARM",18
"2021-05-11","4 Workplace","WORKPLACE - FOOD PROCESSING",14
"2021-05-11","4 Workplace","WORKPLACE - OTHER",135
"2021-05-11","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",8
"2021-05-11","5 Recreational","OTHER RECREATION",19
"2021-05-11","6 Other/Unknown","OTHER",2
"2021-05-12","1 Congregate Care","HOSPITAL",17
"2021-05-12","1 Congregate Care","LONG-TERM CARE HOME",13
"2021-05-12","1 Congregate Care","RETIREMENT HOME",2
"2021-05-12","2 Congregate Living","CONGREGATE OTHER",2
"2021-05-12","2 Congregate Living","CORRECTIONAL FACILITY",1
"2021-05-12","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",14
"2021-05-12","2 Congregate Living","SHELTER",10
"2021-05-12","3 Education","CHILD CARE",50
"2021-05-12","3 Education","SCHOOL - POST-SECONDARY",1
"2021-05-12","4 Workplace","MEDICAL/HEALTH SERVICE",4
"2021-05-12","4 Workplace","RETAIL",21
"2021-05-12","4 Workplace","WORKPLACE - FOOD PROCESSING",19
"2021-05-12","4 Workplace","WORKPLACE - OTHER",151
"2021-05-12","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",8
"2021-05-12","5 Recreational","OTHER RECREATION",43
"2021-05-12","6 Other/Unknown","OTHER",1
"2021-05-13","1 Congregate Care","HOSPITAL",10
"2021-05-13","1 Congregate Care","LONG-TERM CARE HOME",9
"2021-05-13","1 Congregate Care","RETIREMENT HOME",5
"2021-05-13","2 Congregate Living","CORRECTIONAL FACILITY",3
"2021-05-13","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",7
"2021-05-13","2 Congregate Living","SHELTER",8
"2021-05-13","3 Education","CHILD CARE",33
"2021-05-13","3 Education","SCHOOL - POST-SECONDARY",2
"2021-05-13","4 Workplace","MEDICAL/HEALTH SERVICE",3
"2021-05-13","4 Workplace","RETAIL",11
"2021-05-13","4 Workplace","WORKPLACE - FARM",9
"2021-05-13","4 Workplace","WORKPLACE - FOOD PROCESSING",12
"2021-05-13","4 Workplace","WORKPLACE - OTHER",106
"2021-05-13","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",5
"2021-05-13","5 Recreational","OTHER RECREATION",10
"2021-05-13","6 Other/Unknown","OTHER",3
"2021-05-14","1 Congregate Care","HOSPITAL",10
"2021-05-14","1 Congregate Care","LONG-TERM CARE HOME",4
"2021-05-14","1 Congregate Care","RETIREMENT HOME",10
"2021-05-14","2 Congregate Living","CONGREGATE OTHER",4
"2021-05-14","2 Congregate Living","CORRECTIONAL FACILITY",2
"2021-05-14","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",13
"2021-05-14","2 Congregate Living","SHELTER",6
"2021-05-14","3 Education","CHILD CARE",36
"2021-05-14","3 Education","SCHOOL - ELEMENTARY",2
"2021-05-14","4 Workplace","MEDICAL/HEALTH SERVICE",5
"2021-05-14","4 Workplace","RETAIL",26
"2021-05-14","4 Workplace","WORKPLACE - FARM",7
"2021-05-14","4 Workplace","WORKPLACE - FOOD PROCESSING",21
"2021-05-14","4 Workplace","WORKPLACE - OTHER",92
"2021-05-14","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",12
"2021-05-14","5 Recreational","OTHER RECREATION",13
"2021-05-14","6 Other/Unknown","OTHER",2
"2021-05-15","1 Congregate Care","HOSPITAL",5
"2021-05-15","1 Congregate Care","LONG-TERM CARE HOME",9
"2021-05-15","1 Congregate Care","RETIREMENT HOME",1
"2021-05-15","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",9
"2021-05-15","2 Congregate Living","SHELTER",7
"2021-05-15","3 Education","CHILD CARE",29
"2021-05-15","3 Education","SCHOOL - POST-SECONDARY",2
"2021-05-15","4 Workplace","MEDICAL/HEALTH SERVICE",3
"2021-05-15","4 Workplace","RETAIL",12
"2021-05-15","4 Workplace","WORKPLACE - FARM",13
"2021-05-15","4 Workplace","WORKPLACE - FOOD PROCESSING",16
"2021-05-15","4 Workplace","WORKPLACE - OTHER",108
"2021-05-15","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",15
"2021-05-15","5 Recreational","OTHER RECREATION",21
"2021-05-15","6 Other/Unknown","OTHER",2
"2021-05-16","1 Congregate Care","HOSPITAL",9
"2021-05-16","1 Congregate Care","LONG-TERM CARE HOME",11
"2021-05-16","1 Congregate Care","RETIREMENT HOME",4
"2021-05-16","2 Congregate Living","CONGREGATE OTHER",1
"2021-05-16","2 Congregate Living","CORRECTIONAL FACILITY",6
"2021-05-16","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",8
"2021-05-16","2 Congregate Living","SHELTER",3
"2021-05-16","3 Education","CHILD CARE",28
"2021-05-16","3 Education","SCHOOL - POST-SECONDARY",1
"2021-05-16","4 Workplace","MEDICAL/HEALTH SERVICE",2
"2021-05-16","4 Workplace","RETAIL",14
"2021-05-16","4 Workplace","WORKPLACE - FARM",3
"2021-05-16","4 Workplace","WORKPLACE - FOOD PROCESSING",16
"2021-05-16","4 Workplace","WORKPLACE - OTHER",71
"2021-05-16","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",8
"2021-05-16","5 Recreational","RECREATIONAL FITNESS",2
"2021-05-17","1 Congregate Care","HOSPITAL",9
"2021-05-17","1 Congregate Care","LONG-TERM CARE HOME",6
"2021-05-17","1 Congregate Care","RETIREMENT HOME",2
"2021-05-17","2 Congregate Living","CONGREGATE OTHER",2
"2021-05-17","2 Congregate Living","CORRECTIONAL FACILITY",7
"2021-05-17","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",6
"2021-05-17","2 Congregate Living","SHELTER",3
"2021-05-17","3 Education","CHILD CARE",27
"2021-05-17","3 Education","SCHOOL - ELEMENTARY",2
"2021-05-17","4 Workplace","MEDICAL/HEALTH SERVICE",2
"2021-05-17","4 Workplace","RETAIL",11
"2021-05-17","4 Workplace","WORKPLACE - FARM",5
"2021-05-17","4 Workplace","WORKPLACE - FOOD PROCESSING",9
"2021-05-17","4 Workplace","WORKPLACE - OTHER",78
"2021-05-17","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",8
"2021-05-17","5 Recreational","RECREATIONAL FITNESS",1
"2021-05-17","6 Other/Unknown","OTHER",2
"2021-05-18","1 Congregate Care","HOSPITAL",10
"2021-05-18","1 Congregate Care","LONG-TERM CARE HOME",13
"2021-05-18","1 Congregate Care","RETIREMENT HOME",1
"2021-05-18","2 Congregate Living","CONGREGATE OTHER",1
"2021-05-18","2 Congregate Living","CORRECTIONAL FACILITY",14
"2021-05-18","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",14
"2021-05-18","2 Congregate Living","SHELTER",9
"2021-05-18","3 Education","CHILD CARE",36
"2021-05-18","3 Education","SCHOOL - POST-SECONDARY",1
"2021-05-18","4 Workplace","MEDICAL/HEALTH SERVICE",4
"2021-05-18","4 Workplace","RETAIL",16
"2021-05-18","4 Workplace","WORKPLACE - FARM",9
"2021-05-18","4 Workplace","WORKPLACE - FOOD PROCESSING",10
"2021-05-18","4 Workplace","WORKPLACE - OTHER",101
"2021-05-18","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",9
"2021-05-18","5 Recreational","OTHER RECREATION",4
"2021-05-18","5 Recreational","RECREATIONAL FITNESS",1
